Year,Quarter,GDP_Billion_USD,Population_Million,Inflation_Rate,Unemployment_Rate,FDI_Million_USD,Export_Million_USD,Import_Million_USD,Agriculture_Growth,Industry_Growth,Services_Growth,Government_Spending_Billion_USD,Tax_Revenue_Billion_USD,Tourism_Revenue_Million_USD,Gold_Production_Tonnes,Manufacturing_Index,Electricity_Production_GWh,Mobile_Penetration_Percent,Internet_Penetration_Percent,Literacy_Rate_Percent
2000,1,9.12,33.5,5.9,,,1205.3,1876.2,4.2,6.1,5.8,1.2,0.85,722.5,35.2,45.3,2156.7,2.1,0.5,67.8
2000,2,9.34,33.7,6.2,4.8,125.3,1189.4,1923.1,3.8,,5.6,1.3,0.89,798.3,36.1,46.2,2187.3,2.3,0.6,68.1
2000,3,9.45,33.9,5.8,4.9,132.7,1234.6,,4.5,6.4,5.9,1.2,0.91,,35.8,45.8,2201.5,2.4,0.6,68.3
2000,4,9.67,34.1,6.1,5.1,118.9,1267.3,1989.4,4.1,6.2,6.1,1.4,0.93,856.2,37.3,,2234.8,2.6,0.7,68.5
2001,1,9.89,34.3,5.7,5.2,145.2,1298.5,2012.6,,6.5,6.3,1.3,0.96,889.1,38.5,47.9,2267.9,2.8,0.7,68.8
2001,2,10.12,34.5,5.9,,156.8,1321.7,2045.8,4.6,6.7,6.5,1.4,0.98,921.4,39.2,48.6,2298.4,3.1,,69.0
2001,3,10.28,34.7,6.3,5.5,149.3,1356.2,2089.3,4.3,6.3,,1.3,1.01,967.8,40.1,48.2,2334.6,3.3,0.9,69.2
2001,4,10.51,34.9,6.5,5.6,,1389.4,2123.7,4.7,6.8,6.8,1.5,1.04,1012.5,,49.3,2367.1,3.5,0.9,69.5
2002,1,10.73,35.2,6.1,5.7,178.4,1423.6,,4.5,6.9,6.9,1.4,1.07,1045.3,41.8,49.8,2401.8,3.8,1.0,69.7
2002,2,10.96,35.4,5.8,5.8,185.9,1458.9,2198.5,4.8,,7.1,1.5,1.09,,42.5,50.4,2438.2,4.1,1.1,70.0
2002,3,11.15,35.6,6.2,,192.3,1489.2,2245.1,4.4,7.2,7.3,1.4,,1134.7,43.2,50.9,2469.5,4.3,1.2,70.2
2002,4,11.39,35.8,6.4,6.1,201.7,1534.5,2289.6,,7.4,7.5,1.6,1.15,1189.2,44.1,51.7,2507.3,4.6,1.3,70.5
2003,1,11.62,36.1,6.7,6.2,215.3,1567.8,2334.9,5.1,7.6,,1.5,1.18,1234.6,45.3,52.3,2543.6,4.9,1.4,70.7
2003,2,11.87,36.3,6.9,6.3,,1612.3,2389.2,5.3,7.8,7.9,1.6,1.21,1289.5,,53.1,2587.4,5.2,1.5,71.0
2003,3,12.09,36.5,6.5,6.4,238.6,1648.7,,5.0,7.5,7.7,1.5,1.24,1345.8,47.2,52.8,2623.1,5.5,1.6,71.2
2003,4,12.34,36.7,6.8,6.6,247.2,1695.4,2487.1,5.4,,8.1,1.7,1.28,1412.3,48.5,54.2,2665.9,5.9,1.7,71.5
2004,1,12.59,37.0,,6.7,259.8,1738.2,2543.6,5.2,8.1,8.3,1.6,1.31,,49.3,54.8,2701.2,6.2,1.8,71.8
2004,2,12.86,37.2,7.2,6.8,268.4,1789.5,,5.6,8.4,8.6,1.7,1.35,1534.7,50.6,55.6,2745.8,6.6,1.9,72.0
2004,3,13.11,37.4,6.9,,279.1,1834.6,2658.4,5.3,8.2,8.4,1.6,,1598.2,51.4,55.3,2784.3,7.0,2.1,72.3
2004,4,13.38,37.7,7.1,7.2,291.5,1891.2,2721.9,,8.6,8.8,1.8,1.42,1673.5,52.8,56.9,2829.1,7.4,2.2,72.5
2005,1,13.65,37.9,7.4,7.3,305.2,1934.7,2778.3,5.9,8.8,,1.7,1.46,1738.9,54.1,57.5,2867.4,7.9,2.4,72.8
2005,2,13.94,38.1,7.6,7.4,,1989.3,2845.6,6.1,9.1,9.3,1.8,1.49,,55.3,58.3,2914.2,8.3,2.5,73.1
2005,3,14.19,38.4,7.2,7.6,334.7,2038.5,,5.8,8.9,9.1,1.7,1.53,1889.4,56.2,57.9,2953.7,8.8,2.7,73.3
2005,4,14.48,38.6,7.5,,349.6,2098.7,2989.1,6.3,,9.6,1.9,1.58,1978.6,57.9,59.4,3001.5,9.3,2.9,73.6
2006,1,14.77,38.9,7.8,7.9,364.2,2145.3,3056.7,,9.4,9.8,1.8,1.62,2054.2,59.2,60.1,3042.8,9.8,3.1,73.9
2006,2,15.08,39.1,8.1,8.0,378.9,,3134.2,6.7,9.7,10.1,1.9,1.66,2143.8,60.8,61.2,3092.4,10.4,3.3,74.2
2006,3,15.36,39.4,7.7,8.2,395.3,2267.4,3198.6,6.4,,9.9,1.8,,2234.5,62.1,60.8,3134.9,11.0,3.5,74.5
2006,4,15.67,39.6,8.0,8.3,,2338.9,3271.3,6.9,10.2,10.5,2.0,1.75,2341.7,63.7,62.3,3185.2,11.6,3.7,74.7
2007,1,15.98,39.9,8.3,8.4,429.7,2391.6,,6.6,10.4,10.7,1.9,1.79,,65.1,62.9,3228.6,12.3,4.0,75.0
2007,2,16.31,40.1,8.6,,447.3,2457.8,3415.9,7.1,10.7,11.0,2.1,1.84,2547.3,66.9,63.8,3281.7,13.0,4.3,75.3
2007,3,16.61,40.4,8.2,8.8,462.5,2518.3,3489.2,,10.5,10.8,2.0,1.88,2658.6,68.2,63.4,3327.1,13.8,4.6,75.6
2007,4,16.94,40.7,8.5,8.9,481.6,2594.1,,7.5,11.0,11.3,2.2,1.94,2784.9,70.1,64.9,3380.8,14.6,4.9,75.9
2008,1,17.27,40.9,8.9,9.1,,2656.7,3647.8,7.2,,11.5,2.1,1.98,2889.2,71.6,65.5,3426.3,15.5,5.3,76.2
2008,2,17.62,41.2,9.2,9.2,523.8,2734.5,3732.4,7.7,11.5,,2.3,2.03,,73.5,66.6,3482.9,16.4,5.7,76.5
2008,3,17.93,41.5,8.7,9.4,541.3,2798.6,3812.1,7.4,11.3,11.9,2.1,2.08,3134.7,75.1,66.1,3531.4,17.4,6.1,76.8
2008,4,18.28,41.7,9.1,,563.7,2879.3,3901.5,,11.8,12.4,2.4,2.14,3278.5,77.2,67.7,3588.2,18.5,6.6,77.1
2009,1,18.63,42.0,9.5,9.8,587.4,2947.1,,7.9,12.0,12.6,2.3,,3412.9,78.9,68.3,3637.1,19.6,7.1,77.4
2009,2,19.0,42.3,9.8,9.9,608.2,3029.4,4089.3,8.3,12.4,,2.5,2.24,3567.8,81.2,69.4,3695.8,20.8,7.7,77.7
2009,3,19.33,42.6,9.3,,631.5,3104.2,4184.7,8.0,12.1,13.1,2.3,2.29,3723.4,83.1,68.9,3746.2,22.1,8.3,78.0
2009,4,19.69,42.9,9.7,10.3,657.8,3195.8,,8.5,,13.7,2.6,2.36,3897.6,85.6,70.5,3806.9,23.5,8.9,78.3
2010,1,20.05,43.2,10.1,10.4,685.3,3274.6,4389.1,,12.8,13.9,2.5,2.42,4058.3,87.5,71.2,3859.7,25.0,9.6,78.7
2010,2,20.44,43.5,10.4,,711.9,3368.2,4501.8,9.0,13.2,14.3,2.7,2.49,,90.1,72.3,3923.4,26.6,10.4,79.0
2010,3,20.79,43.8,9.9,10.8,742.6,3455.9,,8.7,12.9,14.1,2.5,2.54,4412.5,92.3,71.8,3979.8,28.3,11.2,79.3
2010,4,21.18,44.1,10.3,10.9,,3562.4,4738.6,9.2,13.5,,2.8,2.62,4618.9,95.2,73.4,4045.6,30.1,12.1,79.6
2011,1,21.57,44.4,10.7,11.1,805.9,3647.2,4863.4,,13.7,14.9,2.7,,4802.3,97.6,74.1,4103.2,32.0,13.1,79.9
2011,2,21.98,44.7,11.0,11.2,837.4,3749.8,,9.7,14.1,15.3,2.9,2.75,5014.7,100.8,75.2,4172.8,34.1,14.2,80.2
2011,3,22.36,45.1,10.5,11.4,871.2,3846.3,5119.7,9.4,,15.1,2.7,2.81,,103.2,74.7,4233.5,36.3,15.4,80.6
2011,4,22.77,45.4,10.9,,908.5,3961.4,5264.3,9.9,14.7,15.8,3.0,2.89,5467.1,106.5,76.3,4304.1,38.7,16.7,80.9
2012,1,23.18,45.7,11.3,11.8,947.2,4063.9,,9.6,15.0,16.0,2.9,2.96,5689.4,,77.0,4366.7,41.2,18.1,81.2
2012,2,23.62,46.0,11.6,11.9,984.6,4183.5,5578.9,10.1,15.4,,3.2,3.04,5941.8,112.4,78.6,4441.3,43.9,19.7,81.5
2012,3,24.02,46.4,11.1,12.1,1026.3,4296.8,5738.6,,15.1,16.7,2.9,,6198.2,115.1,78.0,4507.9,46.8,21.4,81.9
